Category,C,P,I,TI,PSS,AHS,ATD,CT,TP,LOT,HW,ITS
Overall,18.93:87.73,27.81:87.21,32.51:87.08,20.5:86.95,43.47:86.81,19.71:86.29,21.15:83.29,29.11:85.9,28.46:78.08,19.58:85.77,42.04:86.42,29.5:86.42
CEO,7.58:93.94,NA,21.21:92.42,13.64:90.91,NA,9.09:92.42,9.09:89.39,NA,NA,NA,NA,NA
Government Officers,NA,31.91:89.36,NA,NA,NA,NA,NA,31.21:88.65,30.5:88.65,27.66:88.65,45.39:93.62,NA
Professors and Teachers,15.26:87.01,23.38:85.06,29.55:85.06,16.23:85.39,NA,NA,NA,NA,NA,NA,NA,27.:85.3992
Middle Management,NA,NA,NA,NA,48.8:92,23.2:94.4,NA,28:92,NA,20:91.4,NA,24.8:91.2
Others,NA,35.25:86.07,42.62:86.07,28.69:88.52,50:88.52,NA,NA,35.25:87.7,NA,NA,NA,NA
Northern,18.61:88.68,28.24:84.8,30.06:84.7,19.87:85.13,39.58:85.97,NA,NA,NA,NA,NA,NA,NA
Southern,18.73:94.44,24.29:91.19,26.74:92.34,18.92:93.07,39.54:82.42,NA,NA,NA,NA,NA,NA,NA
Eastern,14.26:81.11,19.07:78.8,23.7:78.61,16.36:85.74,47.59:88.24,NA,NA,NA,NA,NA,NA,NA
Western,19.34:84.96,24.8:88.62,34.36:87.59,21.48:84.56,44:88.28,NA,NA,NA,NA,NA,NA,NA
